id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
31040,1,5,5,5,0,5,5,5,0,1.6,1.6,1.6,0,652.1,652.1,652.1,0,3,17,3.16,1251.2,5,7,2.56,2001.92,2001.92,2.56,2.56,1565501.44,25,4007683.686,4007683.686,10009.6,10009.6,4007683.686,2,5,1.188362,15.235325
31220,1,5,3,4.5,0.75,16,13,15.25,1.6875,2.1,1.61,1.9775,0.045019,869.3,577.5,796.35,15965.1075,3,14,1.9,786.5,6,4,4.15275,1651.65,1555.30375,4.41,3.91050625,618582.25,9,2727947.723,2418969.755,4954.95,4665.91125,2568817.439,2,5,1.27684,0.332303
35925,1,4,4,4,0,10,10,10,0,1.91,1.91,1.91,0,737.1,737.1,737.1,0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.183,6297836.183,10038.196,10038.196,6297836.183,2,5,1.56241,2.544705
505000,1,5,2,3.5,2.25,16,6,11,25,3.44,2,2.8,0.4096,1313.9,684.3,999.1,99099.04,3,17,3.16,1251.2,6,7,9.632,4304.128,3503.36,11.8336,7.84,1565501.44,4,18525517.84,12273531.29,8608.256,7006.72,15078909.87,2,5,1.350745,2.255673
541013,1,4,4,4,0,4,4,4,0,1.54,1.54,1.54,0,658.8,658.8,658.8,0,5,17,2.66,1008.4,4,7,2.3716,1552.936,1552.936,2.3716,2.3716,1016870.56,16,2411610.22,2411610.22,6211.744,6211.744,2411610.22,2,5,1.155723,0.493947
541610,1,4,4,4,0,14,14,14,0,2.01,2,2.01,0,762,762,762,0,4,17,2.96,1139.9,4,7,4.0401,2291.199,2291.199,4.0401,4.0401,1299372.01,16,5249592.858,5249592.858,9164.796,9164.796,5249592.858,2,5,2.167238,1.181172
543096,1,4,4,4,0,10,10,10,0,1.91,1.91,1.91,0,737.1,737.1,737.1,0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.183,6297836.183,10038.196,10038.196,6297836.183,2,5,1.645843,2.563102
567259,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260823,1.925466
567296,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261455,1.92176
567336,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260332,1.917037
567359,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260375,1.917287
567402,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260901,1.918619
567442,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.261244,1.922011
567483,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260401,1.92151
567504,1,4,4,4,0,6,6,6,0,1.66,1.66,1.66,0,652.9,652.9,652.9,0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,2,5,0.116035,0.57429
567534,1,5,5,5,0,12,12,12,0,1.69,1.69,1.69,0,867.8,867.8,867.8,0,5,17,2.66,1008.4,12,7,2.8561,1704.196,1704.196,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,2,5,2.260546,1.916788
