,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
25,25593,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.652164,2.273709
26,27397,1,6,6,6.0,0.0,9,9,9.0,0.0,2.2,2.0,2.2,0.0,880.0,880.0,880.0,0.0,4,17,2.96,1139.9,9,7,4.84,2507.78,2507.78,4.84,4.84,1299372.01,36,6288960.528,6288960.528,15046.68,15046.68,6288960.528,1.0,0.0,1.889888,2.537454
27,27455,1,5,5,5.0,0.0,3,3,3.0,0.0,1.22,1.22,1.22,0.0,600.0,600.0,600.0,0.0,3,17,3.16,1251.2,3,7,1.4884,1526.464,1526.464,1.4884,1.4884,1565501.44,25,2330092.3430000003,2330092.3430000003,7632.32,7632.32,2330092.3430000003,1.0,0.0,4.742163,1.342881
28,27630,1,4,4,4.0,0.0,6,6,6.0,0.0,1.66,1.66,1.66,0.0,652.9,652.9,652.9,0.0,3,17,3.16,1251.2,6,7,2.7556,2076.992,2076.992,2.7556,2.7556,1565501.44,16,4313895.768,4313895.768,8307.968,8307.968,4313895.768,0.0,2.5924191000000003,0.09387000000000001,0.6659510000000001
29,27664,1,4,3,3.5,0.25,15,4,9.5,30.25,2.19,1.54,1.865,0.105625,1011.8,658.8,835.3,31152.25,3,17,3.16,1251.2,4,7,4.08435,2740.1279999999997,2333.488,4.7961,3.478225,1565501.44,9,7508301.456,5445166.246,8220.384,7000.464,6394055.806,0.0,2.3393618,2.426606,16.432479
30,27716,1,6,4,5.0,1.0,13,1,7.0,36.0,1.62,0.82,1.22,0.16,589.4,418.8,504.1,7276.09,2,16,3.44,1313.9,3,6,1.9764,2128.518,1602.9579999999999,2.6244,1.4884,1726333.21,16,4530588.876,2569474.35,8514.072,6411.831999999999,3411924.9560000002,1.0,0.0,0.9572309999999999,1.313653
31,27770,1,5,5,5.0,0.0,9,9,9.0,0.0,2.28,2.0,2.28,0.0,719.7,719.7,719.7,0.0,3,17,3.16,1251.2,9,7,5.1984,2852.736,2852.736,5.1984,5.1984,1565501.44,25,8138102.686000001,8138102.686000001,14263.68,14263.68,8138102.686000001,1.0,0.0,1.895487,2.863292
32,27871,1,5,5,5.0,0.0,9,9,9.0,0.0,2.28,2.0,2.28,0.0,719.7,719.7,719.7,0.0,4,17,2.96,1139.9,9,7,5.1984,2598.972,2598.972,5.1984,5.1984,1299372.01,25,6754655.457,6754655.457,12994.86,12994.86,6754655.457,0.0,2.10686927,1.6475520000000001,4.483230000000001
33,27922,1,4,4,4.0,0.0,14,14,14.0,0.0,2.01,2.0,2.01,0.0,762.0,762.0,762.0,0.0,5,17,2.66,1008.4,4,7,4.0401,2026.884,2026.884,4.0401,4.0401,1016870.56,16,4108258.749,4108258.749,8107.536,8107.536,4108258.749,1.0,0.0,1.976303,0.66166
34,27934,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,4,17,2.96,1139.9,12,7,2.8561,1926.431,1926.431,2.8561,2.8561,1299372.01,25,3711136.398,3711136.398,9632.155,9632.155,3711136.398,0.0,2.19457711,3.099687,10.384627
35,28117,1,4,4,4.0,0.0,5,5,5.0,0.0,1.63,1.63,1.63,0.0,650.9,650.9,650.9,0.0,3,17,3.16,1251.2,5,7,2.6569,2039.4560000000001,2039.4560000000001,2.6569,2.6569,1565501.44,16,4159380.776,4159380.776,8157.8240000000005,8157.8240000000005,4159380.776,1.0,0.0,0.13033499999999998,1.050958
36,28208,1,5,4,4.5,0.25,8,4,6.0,4.0,1.83,1.33,1.58,0.0625,762.5,640.1,701.3,3745.44,3,17,3.16,1251.2,4,7,2.8914,2289.696,1976.896,3.3489,2.4964,1565501.44,16,5242707.772,3908117.795,9158.784,7907.584,4526490.864,1.0,0.0,1.535986,11.751044
37,28214,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,4,17,2.96,1139.9,4,7,2.3716,1755.4460000000001,1755.4460000000001,2.3716,2.3716,1299372.01,16,3081590.659,3081590.659,7021.784000000001,7021.784000000001,3081590.659,0.0,2.3147437,0.7328439999999999,3.372755
38,28220,1,6,4,5.0,1.0,8,4,6.0,4.0,1.83,1.3,1.565,0.070225,762.5,658.5,710.5,2704.0,3,17,3.16,1251.2,4,7,2.86395,2289.696,1958.128,3.3489,2.449225,1565501.44,16,5242707.772,3834265.264,9158.784,7832.512,4483517.848999999,1.0,0.0,1.6105180000000001,2.029169
39,28248,1,5,5,5.0,0.0,12,12,12.0,0.0,1.69,1.69,1.69,0.0,867.8,867.8,867.8,0.0,5,17,2.66,1008.4,12,7,2.8561,1704.1960000000001,1704.1960000000001,2.8561,2.8561,1016870.56,25,2904284.006,2904284.006,8520.98,8520.98,2904284.006,1.0,0.0,2.260795,1.9230630000000002
40,28293,1,5,3,4.0,1.0,15,14,14.5,0.25,2.19,1.96,2.075,0.013225,1011.8,708.6,860.2,22982.56,3,17,3.16,1251.2,4,7,4.54425,2740.1279999999997,2596.24,4.7961,4.305625,1565501.44,9,7508301.456,6740462.137999999,8220.384,7788.72,7114029.919,0.0,2.44192623,2.690081,7.791946
41,28479,1,4,2,3.333333,0.8888889999999999,14,3,6.6666669999999995,26.888889000000002,2.55,1.36,1.7566669999999998,0.314689,1086.5,633.1,784.233333,45682.568889999995,3,17,3.16,1251.2,3,7,4.47950085,3190.56,2197.94175,6.5025,3.0858789489999996,1565501.44,4,10179673.11,4830947.938,6381.12,4395.883500999999,7012665.031,1.0,0.0,0.8475739999999999,1.441668
42,29422,1,6,6,6.0,0.0,4,4,4.0,0.0,1.3,1.3,1.3,0.0,658.5,658.5,658.5,0.0,3,17,3.16,1251.2,4,7,1.69,1626.56,1626.56,1.69,1.69,1565501.44,36,2645697.434,2645697.434,9759.36,9759.36,2645697.434,0.0,3.08549269,3.770885,1.117996
43,30031,1,4,4,4.0,0.0,2,2,2.0,0.0,1.0,1.0,1.0,0.0,589.8,589.8,589.8,0.0,5,17,2.66,1008.4,2,7,1.0,1008.4,1008.4,1.0,1.0,1016870.56,16,1016870.56,1016870.56,4033.6,4033.6,1016870.56,0.0,1.62246641,3.5951720000000003,1.298106
44,30034,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,4,17,2.96,1139.9,2,7,1.7161,1493.269,1493.269,1.7161,1.7161,1299372.01,9,2229852.306,2229852.306,4479.807,4479.807,2229852.306,0.0,2.05335338,4.84885,3.8043169999999997
45,30943,1,4,3,3.75,0.1875,16,2,12.5,36.75,2.55,1.31,2.24,0.2883,941.0,737.7,890.175,7749.541875,3,15,2.19,1011.8,6,5,5.712000000000001,2580.09,2266.4320000000002,6.5025,5.0176,1023739.24,9,6656864.408,5136714.011,7740.27,6799.295999999999,5847598.539,1.0,0.0,1.9116090000000001,0.47496400000000005
46,31040,1,5,5,5.0,0.0,5,5,5.0,0.0,1.6,1.6,1.6,0.0,652.1,652.1,652.1,0.0,3,17,3.16,1251.2,5,7,2.56,2001.92,2001.92,2.56,2.56,1565501.44,25,4007683.686,4007683.686,10009.6,10009.6,4007683.686,0.0,2.26301104,1.1883620000000001,15.235325
47,31220,1,5,3,4.5,0.75,16,13,15.25,1.6875,2.1,1.61,1.9775,0.045018999999999997,869.3,577.5,796.35,15965.1075,3,14,1.9,786.5,6,4,4.15275,1651.65,1555.30375,4.41,3.91050625,618582.25,9,2727947.723,2418969.755,4954.95,4665.91125,2568817.4390000002,1.0,0.0,1.27684,0.332303
48,35925,1,4,4,4.0,0.0,10,10,10.0,0.0,1.91,1.91,1.91,0.0,737.1,737.1,737.1,0.0,2,16,3.44,1313.9,10,6,3.6481,2509.549,2509.549,3.6481,3.6481,1726333.21,16,6297836.182999999,6297836.182999999,10038.196,10038.196,6297836.182999999,1.0,0.0,1.56241,2.544705
49,505000,1,5,2,3.5,2.25,16,6,11.0,25.0,3.44,2.0,2.8,0.4096,1313.9,684.3,999.1,99099.04,3,17,3.16,1251.2,6,7,9.632,4304.128,3503.36,11.8336,7.84,1565501.44,4,18525517.84,12273531.29,8608.256,7006.72,15078909.87,0.0,2.78797204,1.350745,2.255673
