material_id,spacegroup.number,delta_volume,density,full_formula,e_above_hull,structure.lattice.volume,band_gap.optimize_structure_gap,efermi,final_energy,encut,total_magnetization
mp-414,225,1.437230103,9.416336578,Lu1Se1,0,44.77916579,,6.04373424,-11.1800139,520,0.0018409
mp-415,14,5.045262341,12.9902639,Ir4N8,0.165625158,112.6077745,,8.48605899,-97.08758317,520,4.50E-07
mp-416,223,-2.336427095,11.44896573,Cr6Os2,0.012992612,100.4298584,,7.35670789,-80.15584773,520,0.00175235
mp-417,221,0.037459384,9.280376036,Mn1Rh1,0,28.24296857,,5.78602965,-16.89255247,520,4.0893837
mp-422,216,0.169325997,2.355668066,Be1S1,0,28.95580466,,3.47441272,-9.98932245,520,0
mp-423,189,6.621382179,10.18840156,Ge3Pd6,0,139.585395,,5.24582101,-49.80946611,520,9.20E-06
mp-426,194,-0.32568695,7.803227204,Co2Se2,0.140229334,58.68777819,,6.59709409,-21.74183969,520,0.00021355
mp-427,62,-2.019125706,8.093739499,Fe4As4,0,107.3140762,,7.0285339,-54.0761953,520,0.0005768
mp-429,123,-4.432834807,8.555703737,Zn1Ni1,0,24.0864909,,5.41485181,-7.54943808,520,3.00E-07
mp-430,14,19.01374244,4.434971172,Ti4O8,0.065315909,119.6132049,,3.95079934,-106.8965936,520,6.28E-06
mp-432,123,1.93784896,9.954473557,Nb1Ru1,0,32.35784896,,6.80174821,-19.725728,520,0.0009357
mp-437,221,1.494266062,10.17575949,Mg1Au1,0,36.10836904,,5.19083966,-6.08553865,520,5.70E-06
mp-441,225,50.66441613,3.108001668,Rb2Te1,0,159.5012074,,-0.07229535,-8.09565683,520,3.41E-05
mp-442,191,6.785650963,11.84527691,Rh3Pb3,0,130.4171172,,7.1688638,-33.7049206,520,0.000119033
mp-446,223,-2.305022469,11.39554977,Cr6Pt2,0.064280295,102.3152497,,7.26090853,-70.10818227,520,0.00547245
mp-448,216,-1.684956661,6.282376072,Co1N1,0,19.27925706,,5.40598912,-15.22112846,520,9.00E-07
mp-450,191,-7.38136898,6.779430034,Nb1B2,0,28.05233556,,8.44418684,-25.55685605,520,2.20E-05
mp-451,225,4.552935543,5.716275297,Zr1B1,0.367026412,29.64047254,,3.81145154,-15.97975725,520,6.57E-05
mp-452,204,8.274854853,6.662048814,Co4As12,0,282.8508823,,5.89035544,-89.11524926,520,0.0009736
mp-458,167,1.36589464,4.512568464,Ti4O6,0,105.7814109,,6.98838083,-90.17641346,520,0.0001095
mp-463,225,0.962655936,2.418272598,K1F1,0,39.89287388,,-2.98368935,-8.4316262,520,4.20E-06
mp-468,167,5.137310012,3.02126203,Al2F6,0,92.31021174,,-1.07110144,-47.14404392,520,2.20E-05
mp-470,136,7.321313337,5.942928378,Ge2O4,0.003664797,58.47514944,,3.74776977,-38.72024608,520,6.28E-05
mp-475,225,1.309943942,5.684716737,Sn1P1,0.033938612,43.7235032,,7.89521369,-9.40956803,520,3.18E-05
mp-476,227,-0.044112285,6.337876487,Ge6N8,0.108556204,143.5494545,,5.10669071,-93.48568085,520,5.50E-07
mp-481,221,2.445200608,16.23708393,Sc1Pt3,0,64.45029452,,6.78329897,-28.70931454,520,0.000149
mp-485,194,-0.839516427,8.426586646,Zr2Ni6,0,105.3496696,,6.95874535,-55.42478107,520,1.20E-06
mp-486,15,-10.88024808,4.476788338,Ni2P4,0.011164857,89.49673247,,7.32809623,-35.35800954,520,0
mp-487,2,0.302090713,4.057132025,Mn2P8,0.000343519,146.3887942,,8.44617615,-65.20487864,520,3.50E-07
mp-488,194,11.48453394,5.799783849,Cu6Se6,0.000554874,244.8057885,,3.6283749,-47.05912875,520,6.98E-06
mp-489,152,10.89442772,8.865439596,Ge12Ir3,0.00643517,271.279291,,4.89156118,-84.60679584,520,0.000418633
mp-491,220,4.471980425,6.465075561,La6Se8,0.008905476,376.3106885,,7.96150477,-85.78262617,520,0.0001104
mp-492,225,-15.74477719,5.340303738,Ti2N2,0,38.47859577,,9.09453105,-39.3306175,520,4.95E-06
mp-493,140,-22.62834129,8.184712381,Co4B2,0.024911838,52.21291103,,6.83331881,-43.24889426,520,2.01158615
mp-495,221,2.82868078,8.472409876,Lu1Ga3,0,75.28823959,,3.96011521,-15.53927817,520,8.80E-05
mp-496,212,41.01472494,3.372009868,Sr4Si8,0.001411656,283.2382804,,5.39082452,-54.51131643,520,1.38E-06
mp-499,66,14.49492836,6.752893182,Ag2O2,0,60.9181813,,1.590115,-15.96590073,520,9.63E-05
mp-500,194,28.48639305,7.856984566,Ta2Se4,0,143.2364642,,2.84788325,-42.56542736,520,0.00283695
mp-501,194,27.27245226,7.840250759,Ta4Se8,0.008586679,287.0843607,,3.63766866,-85.02781457,520,0.00049215
mp-504,194,5.248413132,4.641682982,Cu6S6,0.000404398,205.2261631,,5.0070122,-51.73602584,520,7.72E-05
mp-506,221,0.966797247,6.693304704,Mg1Pd1,0,32.43150814,,4.91265919,-8.24065935,520,3.26E-05
mp-507,194,4.388790226,7.353357675,Si2Ni4,0.050977254,65.70126031,,10.06377704,-36.96898828,520,3.60E-05
mp-514,227,1.446363561,10.32375643,Hf2Zn4,0,99.5021556,,3.86130825,-26.25883075,520,0.00019085
mp-517,180,2.029673668,8.942224773,Ta3Si6,6.63E-07,132.0963745,,9.20751694,-72.42130429,520,0.0004497
mp-522,123,2.576219785,14.40035396,Cu2Au2,0,60.08064699,,5.88857358,-14.92641784,520,9.50E-07
mp-523,194,2.517860637,4.893698418,Cr2S2,0.089376948,57.04754416,,7.97405071,-29.52748994,520,2.92528345
mp-526,221,7.060766963,9.241289952,Ca1Tl3,0,117.3765173,,5.65776353,-10.0670734,520,0.0001548
mp-527,221,3.927076429,5.290472647,Ba1Cd1,0,78.38613417,,2.04377044,-3.48826418,520,7.96E-05
mp-531,223,15.29347062,2.404918756,K8Si46,0.003512212,1108.020471,,6.27524978,-259.3076354,520,0.0029813
mp-534,166,3.048700737,2.590681568,B13N2,0.137742056,108.038937,,8.40288486,-106.5481288,520,1.0073758
mp-539,9,12.80049572,3.436496281,Ga4S6,0,227.7267589,,2.28917386,-43.52845289,520,1.40E-06
mp-540,227,-4.514496421,6.150368651,Sc2Fe4,0,84.5857109,,4.99394799,-48.16238901,520,0.0008517
mp-541,223,3.180911682,14.8007223,Ta6Sb2,0,149.1278963,,7.66882454,-80.17690938,520,2.95E-06
mp-542,221,5.002205687,7.32555552,Sr1Hg1,0,65.33073914,,2.55890163,-3.0672867,520,3.81E-05
mp-544,223,1.257126674,8.833384919,Ti6Ir2,0,126.2571267,,6.8212768,-69.63135987,520,0.0004892
mp-545,194,1.44066926,4.332242239,Ti2S2,0.270434267,61.27552396,,8.54435658,-28.84957391,520,0.00018035
mp-548,227,-38.96040575,7.767776107,Nb2Cr4,0,84.18311098,,6.09328257,-58.9972877,520,0.00020055
mp-549,225,0.141505577,5.412536499,Sc1Sb1,0,51.14760529,,5.96793436,-12.33497514,520,3.66E-05
mp-550,204,0.938069507,3.195665219,Al12Mo1,0,218.0950901,,7.44487314,-57.30236189,520,1.00E-07
mp-551,227,-7.321293482,4.07968771,Ba2Al4,0.038427902,155.7200765,,4.61019725,-20.01398737,520,3.31E-05
mp-555,139,-1.839407982,7.568511438,Fe8N1,0.003439431,101.0926785,,5.44152957,-76.27000273,520,19.3458023
mp-557,92,11.77401759,5.6358992,Te4O8,0.011040257,188.0942357,,4.20370243,-64.41499662,520,1.00E-07
mp-558,227,-18.22857521,6.954345621,Y2Mn4,0.160711018,94.92918236,,5.01263002,-48.60749923,520,0.00145525
mp-559,221,3.576195397,9.550768763,Y1Pd3,0,70.96552597,,4.28442726,-25.44447718,520,3.09E-05
mp-561,176,10.94144762,6.324016513,Nb6Se8,0,312.2346887,,4.29384148,-100.6591185,520,2.37E-05
mp-562,205,13.64909062,10.37256926,Sb8Pt4,0,280.8635147,,7.93064451,-63.02049222,520,6.25E-07
mp-563,227,3.181474422,3.919551755,C6N8,1.498327029,78.00248957,,10.51680019,-97.99604058,520,0
mp-564,194,4.811875448,8.797555101,Te2Pd2,0,88.34257738,,6.95869314,-18.10598041,520,2.50E-07
mp-565,140,6.735574626,9.246740625,Sn4Rh2,0.017729633,122.2319955,,9.11096443,-33.11280994,520,5.20E-06
mp-568,140,2.160488595,7.376416842,Ti2Sb4,0,131.190929,,8.86803458,-34.65172803,520,9.85E-06
mp-571,221,-3.007673789,6.59815316,Ti1Ni1,0.048882307,26.81776249,,7.24510801,-14.37355198,520,4.70E-06
mp-574,140,-19.51219266,14.93141444,Ta4Co2,0,93.60170286,,5.70812987,-63.13351785,520,6.20E-06
mp-578,189,8.457265892,9.022646335,Ga3Ag6,0,157.6089078,,3.89315305,-26.48857035,520,0.000197567
mp-583,62,-0.834022431,8.277261851,Co4As4,0,107.41287,,7.27390003,-49.43897067,520,0.01782485
mp-585,191,2.794979777,5.575508143,Mn1B2,0.098412356,22.80167841,,8.51571372,-23.36813322,520,1.8217983
mp-588,167,5.008201528,4.242093827,Ga2F6,0,99.20597833,,-2.7157251,-38.17649338,520,6.80E-06
mp-590,194,-8.620489421,7.640908721,Ni2As2,0.002164782,58.07500965,,7.32663611,-22.01703619,520,0
mp-592,221,0.439925339,8.419439021,Ti1Ru1,0,29.37436834,,7.63034751,-18.70963945,520,6.30E-06
